chars,words,vowels,num_of_punctuations,first_letter_caps,is_heading
1,1,0,0,0,0
5,2,1,0,0,0
1,1,0,0,0,0
3,1,0,1,0,0
3,1,1,0,0,0
1,1,0,0,0,0
12,4,2,1,1,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
262,63,54,40,0,0
1,1,0,0,0,0
431,102,94,33,0,0
3,1,1,0,0,0
1,1,0,0,0,0
58,20,9,9,1,0
3,1,1,0,0,0
1,1,0,0,0,0
3,1,0,1,0,0
3,1,1,0,0,0
1,1,0,0,0,0
12,4,2,1,1,0
3,1,1,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
160,38,32,30,0,0
2,1,0,0,1,0
1,1,0,0,0,0
313,82,65,34,0,0
3,1,1,0,0,0
1,1,0,0,0,0
30,8,4,7,1,0
1,1,0,0,0,0
5,1,1,1,1,0
1,1,0,0,0,0
3,1,1,0,1,0
1,1,0,0,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
3,1,1,0,0,0
1,1,0,0,0,0
11,4,1,3,1,0
3,1,1,0,0,0
1,1,0,0,0,0
6,2,1,0,1,0
1,1,0,0,0,0
3,2,0,0,0,0
1,1,0,0,0,0
3,1,1,1,0,0
1,1,0,0,0,0
2,1,0,1,0,0
3,1,1,0,0,0
1,1,0,0,0,0
44,13,6,10,1,0
1,1,0,0,0,0
3,1,0,1,1,0
7,3,0,1,0,0
1,1,0,0,0,0
8,2,1,0,0,0
4,1,1,0,0,0
1,1,0,0,0,0
38,10,6,6,0,0
3,1,1,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
7,2,1,0,0,0
1,1,0,0,0,0
3,1,0,1,0,0
3,1,1,0,0,0
1,1,0,0,0,0
23,7,3,2,1,0
1,1,0,0,0,0
6,3,0,1,0,0
1,1,0,0,0,0
1,1,0,0,0,0
6,2,0,1,0,0
1,1,0,0,0,0
2,1,0,0,0,0
3,1,1,0,0,0
1,1,0,0,0,0
11,4,1,3,1,0
1,1,0,0,0,0
316,68,71,11,1,0
1,1,0,0,0,0
2,1,0,1,0,0
4,1,0,1,0,0
1,1,0,0,0,0
8,2,1,0,0,0
4,1,1,0,0,0
1,1,0,0,0,0
27,6,4,5,0,0
1,1,0,0,0,0
120,28,27,11,1,0
1,1,0,0,0,0
4,1,0,0,0,0
1,1,0,0,0,0
393,87,91,26,0,0
2,1,0,0,1,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
23,9,0,4,1,0
1,1,0,0,0,0
29,5,4,4,1,0
3213,474,657,406,1,0
1,1,0,0,0,0
3899,608,836,437,1,0
1,1,0,0,0,0
1,1,0,0,0,0
49,6,15,0,1,0
1,1,0,0,0,0
296,38,72,27,1,0
1,1,0,0,0,0
38,5,3,5,0,0
1,1,0,0,0,0
9,1,1,0,1,0
962,138,295,18,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
13,1,4,0,1,0
1,1,0,0,0,0
2277,344,708,89,1,0
1,1,0,0,0,0
1,1,0,0,0,0
22,2,7,1,1,0
1,1,0,0,0,0
88,11,21,5,0,0
1,1,0,0,0,0
2445,360,741,76,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
14,1,6,0,1,0
1,1,0,0,0,0
106,15,32,2,1,0
1,1,0,0,0,0
1485,296,395,107,1,0
1,1,0,0,0,0
550,95,171,11,1,0
1,1,0,0,0,0
5,1,0,1,0,0
1,1,0,0,0,0
18,2,4,0,1,0
1,1,0,0,0,0
1524,274,415,101,1,0
81,27,9,17,1,0
1,1,0,0,0,0
6,2,1,1,0,0
1,1,0,0,0,0
530,113,126,55,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
12,1,4,0,1,0
1,1,0,0,0,0
229,38,66,6,1,0
1,1,0,0,0,0
971,157,292,47,1,0
6,2,1,2,0,0
1,1,0,0,0,0
25,7,3,9,0,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
595,129,153,48,0,0
1,1,0,0,0,0
3,1,1,0,0,0
1,1,0,0,0,0
18,2,7,0,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
115,16,38,0,1,0
1,1,0,0,0,0
20,3,5,2,1,0
1,1,0,0,0,0
20,3,5,2,1,0
1,1,0,0,0,0
26,3,10,0,1,0
1,1,0,0,0,0
42,6,12,0,1,0
1,1,0,0,0,0
2,1,0,0,1,0
1,1,0,0,0,0
26,3,10,0,1,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
20,3,5,2,1,0
1,1,0,0,0,0
18,2,7,0,1,0
